year,geo_name,geo,mean_commute_minutes
2014,"East Feliciana Parish","05000US22037",31.2483
2014,"Garrard County","05000US21079",31.2461
2014,"Henry County, GA","05000US13151",31.2284
2015,"Grand Isle County","05000US50013",31.2243
2013,"Winn Parish","05000US22127",31.1657
2013,"Craig County","05000US51045",31.1643
2013,"Comerío Municipio","05000US72045",31.1516
2013,"Plymouth County, MA","05000US25023",31.1509
2013,"Cheatham County","05000US47021",31.1363
2015,"Chisago County","05000US27025",31.1348
2013,"Buckingham County","05000US51029",31.1324
2013,"Hood County","05000US48221",31.1211
2014,"Caswell County","05000US37033",31.1201
2013,"Nelson County","05000US51125",31.1188
2015,"Wyoming County","05000US54109",31.1138
2015,"Calaveras County","05000US06009",31.1136
2015,"Clay County, FL","05000US12019",31.1067
2013,"Bath County","05000US51017",31.1043
2014,"Stone County","05000US28131",31.0958
2014,"Summers County","05000US54089",31.0854
2015,"Caldwell County","05000US29025",31.0832
2015,"Jackson County","05000US54035",31.0704
2015,"Douglas County","05000US29067",31.0681
2013,"Hunterdon County, NJ","05000US34019",31.0666
2015,"Wilson County","05000US48493",31.064
2015,"Montgomery County, TX","05000US48339",31.0487
2013,"Luquillo Municipio","05000US72089",31.0463
2015,"Magoffin County","05000US21153",31.046
2013,"Brantley County","05000US13025",31.0369
2014,"Clay County, FL","05000US12019",31.0266
2013,"Monroe County","05000US39111",31.0131
2014,"Chambers County","05000US48071",31.0128
2014,"Hancock County","05000US47067",31.0075
2013,"Caldwell County","05000US29025",31.0065
2014,"St. Tammany Parish, LA","05000US22103",31.0001
2013,"Bland County","05000US51021",30.9967
2013,"Garrard County","05000US21079",30.9949
2015,"Lares Municipio","05000US72081",30.9911
2013,"Summers County","05000US54089",30.9892
2013,"Chambers County","05000US48071",30.9884
2015,"Leake County","05000US28079",30.9796
2013,"Barranquitas Municipio","05000US72019",30.9673
2015,"Cook County, IL","05000US17031",30.9673
2013,"Essex County","05000US51057",30.9549
2015,"Haralson County","05000US13143",30.9511
2014,"Hunterdon County, NJ","05000US34019",30.9449
2014,"Franklin County","05000US18047",30.9316
2013,"Perry County","05000US28111",30.9213
2014,"Douglas County","05000US29067",30.9211
2013,"Lee County","05000US21129",30.918
2015,"Southampton County","05000US51175",30.9172
2015,"Sherburne County","05000US27141",30.8999
2013,"Clay County, FL","05000US12019",30.8908
2015,"Wolfe County","05000US21237",30.8891
2015,"Waller County","05000US48473",30.8884
2015,"New Kent County","05000US51127",30.8876
2013,"Avoyelles Parish","05000US22009",30.8847
2015,"Cidra Municipio","05000US72041",30.8798
2015,"Caswell County","05000US37033",30.8773
2014,"Jackson County","05000US21109",30.8729
2013,"Talbot County","05000US13263",30.8674
2013,"Philadelphia County, PA","05000US42101",30.863
2014,"Westchester County, NY","05000US36119",30.8628
2015,"Bradford County","05000US12007",30.8615
2015,"Lewis County","05000US21135",30.8595
2014,"Floyd County","05000US51063",30.8588
2015,"Ohio County","05000US18115",30.8557
2013,"Rockdale County","05000US13247",30.8426
2013,"Morgan County","05000US39115",30.8397
2015,"Fulton County","05000US42057",30.8356
2014,"Nicholas County","05000US21181",30.8342
2014,"Cheatham County","05000US47021",30.8317
2014,"Union Parish","05000US22111",30.8295
2014,"Caldwell Parish","05000US22021",30.8276
2014,"Lee County","05000US21129",30.8263
2014,"Elliott County","05000US21063",30.8247
