year,geo_name,geo,median_property_value,median_property_value_moe
2015,"Bucks County, PA","05000US42017",308800.0,2581.0
2015,"Mendocino County","05000US06045",308400.0,10347.0
2015,"Poquoson city","05000US51735",307800.0,18719.0
2013,"Wasatch County","05000US49051",307600.0,17267.0
2014,"Bucks County, PA","05000US42017",307600.0,2683.0
2014,"Cape May County","05000US34009",307000.0,7920.0
2013,"Frederick County, MD","05000US24021",307000.0,3959.0
2013,"Skagway Municipality","05000US02230",305600.0,31820.0
2015,"Stafford County, VA","05000US51179",305300.0,5670.0
2014,"Williamsburg city","05000US51830",305000.0,27915.0
2013,"St. Mary's County, MD","05000US24037",304700.0,7069.0
2014,"Wasatch County","05000US49051",304300.0,15997.0
2014,"Poquoson city","05000US51735",304200.0,17960.0
2013,"Garfield County","05000US08045",302700.0,16666.0
2013,"Poquoson city","05000US51735",302400.0,19227.0
2015,"Hawaii County, HI","05000US15001",301700.0,8056.0
2014,"Hawaii County, HI","05000US15001",301500.0,6507.0
2014,"Frederick County, MD","05000US24021",301300.0,4342.0
2015,"Clackamas County, OR","05000US41005",301000.0,3714.0
2013,"Clackamas County, OR","05000US41005",300600.0,4030.0
2014,"St. Mary's County, MD","05000US24037",300200.0,6013.0
2015,"Frederick County, MD","05000US24021",300100.0,3825.0
2014,"Stafford County, VA","05000US51179",300000.0,4862.0
2015,"Cape May County","05000US34009",299700.0,6542.0
2013,"Stafford County, VA","05000US51179",299300.0,4408.0
2013,"Charles County, MD","05000US24017",297900.0,4007.0
2015,"St. Mary's County, MD","05000US24037",297200.0,5387.0
2014,"Clackamas County, OR","05000US41005",295600.0,3107.0
2015,"Broomfield County","05000US08014",295500.0,5968.0
2015,"Alpine County","05000US06003",295000.0,31787.0
2013,"Dare County","05000US37055",293900.0,12432.0
2013,"Charlottesville city","05000US51540",293000.0,9874.0
2015,"Snohomish County, WA","05000US53061",293000.0,1948.0
2014,"Grand County","05000US08049",292700.0,21729.0
2013,"Montgomery County, PA","05000US42091",292600.0,1597.0
2013,"Snohomish County, WA","05000US53061",292500.0,1929.0
2015,"Montgomery County, PA","05000US42091",292300.0,1731.0
2013,"Island County","05000US53029",292100.0,6125.0
2013,"Middlesex County, CT","05000US09007",292000.0,4030.0
2015,"Island County","05000US53029",290900.0,5868.0
2014,"Montgomery County, PA","05000US42091",290800.0,1390.0
2014,"Garfield County","05000US08045",290600.0,10189.0
2015,"Anchorage Municipality, AK","05000US02020",290500.0,2994.0
2013,"Dutchess County, NY","05000US36027",289400.0,2269.0
2013,"Humboldt County, CA","05000US06023",288300.0,5103.0
2014,"Middlesex County, CT","05000US09007",288300.0,3287.0
2014,"Island County","05000US53029",287600.0,6102.0
2015,"Garfield County","05000US08045",287500.0,11393.0
2014,"Snohomish County, WA","05000US53061",287500.0,1877.0
2014,"Charles County, MD","05000US24017",287000.0,3967.0
2013,"Mercer County, NJ","05000US34021",286900.0,3275.0
2014,"Anchorage Municipality, AK","05000US02020",286600.0,3073.0
2013,"DuPage County, IL","05000US17043",286500.0,1726.0
2014,"Kendall County","05000US48259",286400.0,18019.0
2013,"Sussex County, NJ","05000US34037",285800.0,2920.0
2015,"Charlottesville city","05000US51540",285300.0,9642.0
2015,"Middlesex County, CT","05000US09007",285100.0,3297.0
2015,"Washington County, OR","05000US41067",285100.0,2403.0
2013,"Los Alamos County","05000US35028",284500.0,11219.0
2015,"Jefferson County","05000US53031",284500.0,11857.0
2015,"Charles County, MD","05000US24017",284500.0,3449.0
2014,"Sublette County","05000US56035",284400.0,20935.0
2014,"Dare County","05000US37055",284400.0,8938.0
2014,"Broomfield County","05000US08014",284100.0,6503.0
2013,"Jefferson County","05000US53031",284100.0,12593.0
2015,"Clear Creek County","05000US08019",283900.0,16465.0
2015,"Dare County","05000US37055",283400.0,9172.0
2014,"Charlottesville city","05000US51540",283100.0,7500.0
2013,"Anchorage Municipality, AK","05000US02020",282800.0,2858.0
2013,"Sublette County","05000US56035",282800.0,17382.0
2015,"King George County","05000US51099",282500.0,11551.0
2015,"Rockingham County, NH","05000US33015",282500.0,2808.0
2013,"Washington County, OR","05000US41067",282400.0,2137.0
2014,"Jefferson County","05000US53031",282400.0,12116.0
2014,"Dutchess County, NY","05000US36027",282100.0,2543.0
2013,"Rockingham County, NH","05000US33015",282100.0,2558.0
2013,"Grand County","05000US08049",282000.0,25509.0
2015,"Grand County","05000US08049",282000.0,20572.0
2013,"Harford County, MD","05000US24025",281800.0,3008.0
2013,"Gilpin County","05000US08047",281700.0,34054.0
2014,"Humboldt County, CA","05000US06023",281300.0,4084.0
