year,geo_name,geo,hiv_prevalence_rate
2015,"Franklin County","05000US31061",None
2016,"Franklin County","05000US31061",None
2015,"Fillmore County","05000US31059",None
2016,"Fillmore County","05000US31059",None
2017,"Fillmore County","05000US31059",None
2017,"Dundy County","05000US31057",None
2016,"Dundy County","05000US31057",None
2015,"Dundy County","05000US31057",None
2016,"Jasper County","05000US17079",None
2015,"Jasper County","05000US17079",None
2017,"Jasper County","05000US17079",None
2015,"Vinton County","05000US39163",None
2016,"Vinton County","05000US39163",None
2017,"Vinton County","05000US39163",None
2017,"Dixon County","05000US31051",None
2016,"Dixon County","05000US31051",None
2015,"Dixon County","05000US31051",None
2017,"Deuel County","05000US31049",None
2016,"Deuel County","05000US31049",None
2015,"Deuel County","05000US31049",None
2015,"Dawes County","05000US31045",None
2017,"Dawes County","05000US31045",None
2016,"Dawes County","05000US31045",None
2016,"Wyandot County","05000US39175",None
2015,"Wyandot County","05000US39175",None
2017,"Wyandot County","05000US39175",None
2015,"Alfalfa County","05000US40003",None
2016,"Alfalfa County","05000US40003",None
2017,"Alfalfa County","05000US40003",None
2015,"Custer County","05000US31041",None
2017,"Cuming County","05000US31039",None
2017,"Beaver County","05000US40007",None
2016,"Beaver County","05000US40007",None
2015,"Beaver County","05000US40007",None
2016,"Cuming County","05000US31039",None
2015,"Cuming County","05000US31039",None
2017,"Clay County","05000US31035",None
2016,"Clay County","05000US31035",None
2015,"Clay County","05000US31035",None
2017,"Cherry County","05000US31031",None
2016,"Cherry County","05000US31031",None
2015,"Cherry County","05000US31031",None
2015,"Chase County","05000US31029",None
2016,"Chase County","05000US31029",None
2017,"Chase County","05000US31029",None
2015,"Cedar County","05000US31027",None
2016,"Cedar County","05000US31027",None
2017,"Cedar County","05000US31027",None
2016,"Butler County","05000US31023",None
2015,"Butler County","05000US31023",None
2017,"Butler County","05000US31023",None
2015,"Burt County","05000US31021",None
2017,"Burt County","05000US31021",None
2016,"Burt County","05000US31021",None
2015,"Cimarron County","05000US40025",None
2016,"Cimarron County","05000US40025",None
2017,"Cimarron County","05000US40025",None
2017,"Brown County","05000US31017",None
2016,"Brown County","05000US31017",None
2015,"Brown County","05000US31017",None
2015,"Coal County","05000US40029",None
2017,"Coal County","05000US40029",None
2016,"Coal County","05000US40029",None
2017,"Boyd County","05000US31015",None
2016,"Boyd County","05000US31015",None
2015,"Boyd County","05000US31015",None
2016,"Cotton County","05000US40033",None
2017,"Cotton County","05000US40033",None
2015,"Cotton County","05000US40033",None
2016,"Box Butte County","05000US31013",None
2015,"Box Butte County","05000US31013",None
2017,"Box Butte County","05000US31013",None
2017,"Boone County","05000US31011",None
2016,"Boone County","05000US31011",None
2015,"Boone County","05000US31011",None
2015,"Blaine County","05000US31009",None
2016,"Blaine County","05000US31009",None
2017,"Blaine County","05000US31009",None
2016,"Banner County","05000US31007",None
2017,"Banner County","05000US31007",None
2015,"Dewey County","05000US40043",None
2017,"Ellis County","05000US40045",None
2015,"Ellis County","05000US40045",None
2016,"Ellis County","05000US40045",None
2015,"Banner County","05000US31007",None
2015,"Arthur County","05000US31005",None
2016,"Arthur County","05000US31005",None
2017,"Arthur County","05000US31005",None
2015,"Antelope County","05000US31003",None
2017,"Antelope County","05000US31003",None
2017,"Grant County","05000US40053",None
2015,"Grant County","05000US40053",None
2016,"Grant County","05000US40053",None
2016,"Antelope County","05000US31003",None
2015,"Wibaux County","05000US30109",None
2016,"Wibaux County","05000US30109",None
2016,"Harmon County","05000US40057",None
2017,"Harmon County","05000US40057",None
2015,"Harmon County","05000US40057",None
2015,"Harper County","05000US40059",None
2017,"Harper County","05000US40059",None
2016,"Harper County","05000US40059",None
2017,"Wibaux County","05000US30109",None
2017,"Haskell County","05000US40061",None
2016,"Haskell County","05000US40061",None
2015,"Wheatland County","05000US30107",None
2016,"Wheatland County","05000US30107",None
2017,"Wheatland County","05000US30107",None
2015,"Valley County","05000US30105",None
2016,"Valley County","05000US30105",None
2017,"Valley County","05000US30105",None
2017,"Treasure County","05000US30103",None
2016,"Treasure County","05000US30103",None
2015,"Treasure County","05000US30103",None
2016,"Toole County","05000US30101",None
2017,"Toole County","05000US30101",None
2015,"Toole County","05000US30101",None
2015,"Teton County","05000US30099",None
2016,"Teton County","05000US30099",None
2016,"Kiowa County","05000US40075",None
2015,"Kiowa County","05000US40075",None
2017,"Kiowa County","05000US40075",None
